"","X","Stn.Code","Sampling.Date","State","City.Town.Village.Area","Location.of.Monitoring.Station","Agency","Type.of.Location","SO2","NO2","RSPM.PM10","PM.2.5","season","quarter","Type.of.Location.Binary.form"
"1330",1330,471,"30-01-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",11,24,168,113,"winter",1,0
"1331",1331,471,"03-02-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",12,25,175,79,"winter",1,0
"1332",1332,471,"06-02-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",10,26,175,102,"winter",1,0
"1333",1333,471,"10-02-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",9,23,155,148,"winter",1,0
"1334",1334,471,"13-02-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",11,27,169,96,"winter",1,0
"1335",1335,471,"17-02-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,158,84,"winter",1,0
"1336",1336,471,"20-02-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",9,26,168,114,"winter",1,0
"1337",1337,471,"24-02-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",10,22,166,69,"winter",1,0
"1338",1338,471,"27-02-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",9,26,159,100,"winter",1,0
"1339",1339,471,"01-09-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",8,22,84,41,"rainy",3,0
"1340",1340,471,"04-09-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",8,22,87,43,"rainy",3,0
"1341",1341,471,"08-09-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",9,23,89,31,"rainy",3,0
"1342",1342,471,"11-09-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,80,44,"rainy",3,0
"1343",1343,471,"15-09-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",8,21,57,34,"rainy",3,0
"1344",1344,471,"18-09-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",8,23,80,33,"rainy",3,0
"1345",1345,471,"22-09-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",7,20,91,35,"rainy",3,0
"1346",1346,471,"25-09-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",11,24,106,43,"rainy",3,0
"1347",1347,471,"29-09-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",9,23,107,47,"rainy",3,0
"1348",1348,471,"01-10-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",8,22,136,47,"winter",3,0
"1349",1349,471,"06-10-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",7,22,129,51,"winter",3,0
"1350",1350,471,"09-10-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",9,24,156,53,"winter",3,0
"1351",1351,471,"13-10-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,121,64,"winter",3,0
"1352",1352,471,"16-10-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",8,22,136,42,"winter",3,0
"1353",1353,471,"20-10-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",8,23,132,50,"winter",3,0
"1354",1354,471,"23-10-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",7,20,132,35,"winter",3,0
"1355",1355,471,"27-10-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,124,39,"winter",3,0
"1356",1356,471,"30-10-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",9,22,133,50,"winter",3,0
"1357",1357,471,"03-11-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,140,46,"winter",3,0
"1358",1358,471,"06-11-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",9,24,128,48,"winter",3,0
"1359",1359,471,"10-11-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,151,83,"winter",3,0
"1360",1360,471,"13-11-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,132,89,"winter",3,0
"1361",1361,471,"17-11-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",10,27,142,80,"winter",3,0
"1362",1362,471,"20-11-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",11,25,138,90,"winter",3,0
"1363",1363,471,"24-11-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",10,26,128,77,"winter",3,0
"1364",1364,471,"27-11-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",10,22,131,88,"winter",3,0
"1365",1365,471,"01-12-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,150,97,"winter",4,0
"1366",1366,471,"04-12-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,144,83,"winter",4,0
"1367",1367,471,"08-12-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",9,24,145,92,"winter",4,0
"1368",1368,471,"11-12-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",9,23,128,85,"winter",4,0
"1369",1369,471,"15-12-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,137,72,"winter",4,0
"1370",1370,471,"18-12-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",10,28,121,51,"winter",4,0
"1371",1371,471,"22-12-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",12,25,115,71,"winter",4,0
"1372",1372,471,"25-12-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",10,27,131,81,"winter",4,0
"1373",1373,471,"29-12-15","Odisha","Talcher","Coal Field Area, Talcher","Odisha State Pollution Control Board","Industrial Area",10,26,145,83,"winter",4,0
"1374",1374,552,"07-02-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,146,104,"winter",1,1
"1375",1375,552,"09-02-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,93,46,"winter",1,1
"1376",1376,552,"12-02-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,53,41,"winter",1,1
"1377",1377,552,"16-02-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,75,45,"winter",1,1
"1378",1378,552,"18-02-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,15,111,39,"winter",1,1
"1379",1379,552,"20-02-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,14,135,42,"winter",1,1
"1380",1380,552,"23-02-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,14,100,37,"winter",1,1
"1381",1381,552,"27-02-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,80,42,"winter",1,1
"1382",1382,552,"02-04-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,138,54,"summer",2,1
"1383",1383,552,"06-04-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,79,42,"summer",2,1
"1384",1384,552,"09-04-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,76,42,"summer",2,1
"1385",1385,552,"13-04-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,67,40,"summer",2,1
"1386",1386,552,"18-04-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,47,28,"summer",2,1
"1387",1387,552,"21-04-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,54,27,"summer",2,1
"1388",1388,552,"24-04-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,11,26,17,"summer",2,1
"1389",1389,552,"27-04-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,11,26,20,"summer",2,1
"1390",1390,552,"29-04-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,51,36,"summer",2,1
"1391",1391,552,"04-05-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,50,34,"summer",2,1
"1392",1392,552,"07-05-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,83,44,"summer",2,1
"1393",1393,552,"11-05-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,73,42,"summer",2,1
"1394",1394,552,"14-05-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,57,30,"summer",2,1
"1395",1395,552,"18-05-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,36,12,"summer",2,1
"1396",1396,552,"20-05-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,86,39,"summer",2,1
"1397",1397,552,"25-05-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,14,94,29,"summer",2,1
"1398",1398,552,"28-05-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,80,34,"summer",2,1
"1399",1399,552,"01-06-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,15,72,37,"summer",2,1
"1400",1400,552,"04-06-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,33,13,"summer",2,1
"1401",1401,552,"08-06-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,15,58,29,"summer",2,1
"1402",1402,552,"11-06-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,15,53,5,"summer",2,1
"1403",1403,552,"16-06-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,14,22,8,"summer",2,1
"1404",1404,552,"18-06-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,56,20,"summer",2,1
"1405",1405,552,"25-06-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,73,20,"summer",2,1
"1406",1406,552,"29-06-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,59,29,"summer",2,1
"1407",1407,552,"02-07-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,14,42,34,"rainy",2,1
"1408",1408,552,"06-07-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,37,24,"rainy",2,1
"1409",1409,552,"13-07-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,14,70,49,"rainy",2,1
"1410",1410,552,"20-07-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,30,18,"rainy",2,1
"1411",1411,552,"23-07-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,36,24,"rainy",2,1
"1412",1412,552,"30-07-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,30,19,"rainy",2,1
"1413",1413,552,"03-08-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,14,55,33,"rainy",3,1
"1414",1414,552,"06-08-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,15,47,16,"rainy",3,1
"1415",1415,552,"10-08-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,61,25,"rainy",3,1
"1416",1416,552,"17-08-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,33,33,"rainy",3,1
"1417",1417,552,"24-08-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,11,46,31,"rainy",3,1
"1418",1418,552,"27-08-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,60,35,"rainy",3,1
"1419",1419,552,"03-09-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,14,67,46,"rainy",3,1
"1420",1420,552,"07-09-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,23,10,"rainy",3,1
"1421",1421,552,"14-09-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,35,21,"rainy",3,1
"1422",1422,552,"19-09-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,17,15,"rainy",3,1
"1423",1423,552,"21-09-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,35,31,"rainy",3,1
"1424",1424,552,"25-09-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,16,80,58,"rainy",3,1
"1425",1425,552,"28-09-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,17,102,56,"rainy",3,1
"1426",1426,552,"01-10-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,97,43,"winter",3,1
"1427",1427,552,"07-10-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,11,150,55,"winter",3,1
"1428",1428,552,"08-10-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,142,48,"winter",3,1
"1429",1429,552,"13-10-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,14,144,65,"winter",3,1
"1430",1430,552,"16-10-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,14,114,48,"winter",3,1
"1431",1431,552,"19-10-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,11,52,31,"winter",3,1
"1432",1432,552,"26-10-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,84,37,"winter",3,1
"1433",1433,552,"29-10-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,15,83,51,"winter",3,1
"1434",1434,552,"02-11-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,14,119,61,"winter",3,1
"1435",1435,552,"09-11-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,15,144,81,"winter",3,1
"1436",1436,552,"12-11-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,14,135,80,"winter",3,1
"1437",1437,552,"16-11-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,100,92,"winter",3,1
"1438",1438,552,"19-11-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,113,78,"winter",3,1
"1439",1439,552,"23-11-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,123,64,"winter",3,1
"1440",1440,552,"26-11-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,16,198,118,"winter",3,1
"1441",1441,552,"30-11-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,146,77,"winter",3,1
"1442",1442,552,"03-12-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,113,55,"winter",4,1
"1443",1443,552,"07-12-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,155,77,"winter",4,1
"1444",1444,552,"10-12-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,14,122,79,"winter",4,1
"1445",1445,552,"14-12-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,16,140,81,"winter",4,1
"1446",1446,552,"17-12-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,15,177,117,"winter",4,1
"1447",1447,552,"24-12-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,100,67,"winter",4,1
"1448",1448,552,"28-12-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,15,105,68,"winter",4,1
"1449",1449,552,"31-12-15","Odisha","Keonjhar","Regional Office, Keonjhar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,16,159,109,"winter",4,1
"1465",1465,686,"15-04-15","Odisha","Bhubaneswar","Patrapada, Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,18,51,15,"summer",2,1
"1466",1466,686,"17-04-15","Odisha","Bhubaneswar","Patrapada, Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,15,70,12,"summer",2,1
"1467",1467,686,"20-04-15","Odisha","Bhubaneswar","Patrapada, Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,15,66,12,"summer",2,1
"1468",1468,686,"24-04-15","Odisha","Bhubaneswar","Patrapada, Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,16,76,20,"summer",2,1
"1469",1469,686,"27-04-15","Odisha","Bhubaneswar","Patrapada, Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,17,69,18,"summer",2,1
"1470",1470,686,"29-04-15","Odisha","Bhubaneswar","Patrapada, Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,18,54,19,"summer",2,1
"1471",1471,686,"01-05-15","Odisha","Bhubaneswar","Patrapada, Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,16,54,12,"summer",2,1
"1472",1472,686,"05-05-15","Odisha","Bhubaneswar","Patrapada, Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,15,64,15,"summer",2,1
"1473",1473,686,"08-05-15","Odisha","Bhubaneswar","Patrapada, Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,14,45,25,"summer",2,1
"1474",1474,686,"12-05-15","Odisha","Bhubaneswar","Patrapada, Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,15,61,19,"summer",2,1
"1475",1475,686,"19-05-15","Odisha","Bhubaneswar","Patrapada, Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,15,66,23,"summer",2,1
"1476",1476,686,"25-05-15","Odisha","Bhubaneswar","Patrapada, Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,18,66,23,"summer",2,1
"1477",1477,686,"27-05-15","Odisha","Bhubaneswar","Patrapada, Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,16,83,17,"summer",2,1
"1478",1478,686,"02-06-15","Odisha","Bhubaneswar","Patrapada, Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,18,79,16,"summer",2,1
"1479",1479,686,"05-06-15","Odisha","Bhubaneswar","Patrapada, Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,14,114,20,"summer",2,1
"1480",1480,686,"09-06-15","Odisha","Bhubaneswar","Patrapada, Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,17,66,17,"summer",2,1
"1510",1510,686,"11-11-15","Odisha","Bhubaneswar","Patrapada, Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",8,21,329,174,"winter",3,1
"1523",1523,688,"05-01-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,17,75,22,"winter",1,1
"1524",1524,688,"09-01-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,19,88,29,"winter",1,1
"1525",1525,688,"15-01-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,18,154,47,"winter",1,1
"1526",1526,688,"27-01-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,18,115,55,"winter",1,1
"1527",1527,688,"29-01-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,16,141,25,"winter",1,1
"1528",1528,688,"31-01-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,18,125,56,"winter",1,1
"1529",1529,688,"04-02-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,18,132,49,"winter",1,1
"1530",1530,688,"10-02-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,22,146,61,"winter",1,1
"1531",1531,688,"13-02-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,61,15,"winter",1,1
"1532",1532,688,"20-02-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,16,69,21,"winter",1,1
"1533",1533,688,"23-02-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,18,93,21,"winter",1,1
"1534",1534,688,"26-02-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,80,18,"winter",1,1
"1535",1535,688,"10-03-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,17,106,34,"summer",1,1
"1536",1536,688,"12-03-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,17,89,36,"summer",1,1
"1537",1537,688,"16-03-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,14,95,31,"summer",1,1
"1538",1538,688,"18-03-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,14,100,22,"summer",1,1
"1539",1539,688,"20-03-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,17,128,27,"summer",1,1
"1549",1549,688,"14-05-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,15,79,9,"summer",2,1
"1550",1550,688,"20-05-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,16,63,20,"summer",2,1
"1552",1552,688,"26-05-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,14,65,30,"summer",2,1
"1553",1553,688,"29-05-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,16,156,22,"summer",2,1
"1554",1554,688,"02-06-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,16,154,18,"summer",2,1
"1555",1555,688,"05-06-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,16,121,19,"summer",2,1
"1556",1556,688,"09-06-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,16,104,16,"summer",2,1
"1557",1557,688,"12-06-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,63,20,"summer",2,1
"1558",1558,688,"18-06-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,59,28,"summer",2,1
"1559",1559,688,"22-06-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,10,23,9,"summer",2,1
"1560",1560,688,"25-06-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,12,65,17,"summer",2,1
"1561",1561,688,"29-06-15","Odisha","Bhubaneswar","Chandrasekharpur. Bhubneswar","Odisha State Pollution Control Board","Residential, Rural and other Areas",2,13,76,17,"summer",2,1
